name,price,link
"Dell Latitude 3190 2-in-1 Pentium Silver N5030 11.6"" HD Laptop","51,000",https://www.startech.com.bd/dell-latitude-3190-2-in-1-pentium-hd-laptop
"Walton Passion BX5800 Core i5 8th Gen 14"" HD Laptop","51,500",https://www.startech.com.bd/walton-passion-bx5800-core-i5-8th-gen-laptop
"HP 15s-du3023TU Core i3 11th Gen 15.6"" FHD Laptop","52,000",https://www.startech.com.bd/hp-15s-du3023tu-core-i3-11th-gen-laptop
"Walton Passion BP5800 Core i5 8th Gen 15.6"" HD Laptop","52,550",https://www.startech.com.bd/walton-passion-bp5800-core-i5-8th-gen-laptop
"MSI Modern 14 B10MW Core i3 10th Gen 512GB SSD 14"" Full HD Laptop","53,000",https://www.startech.com.bd/msi-modern-14-b10mw-512gb-ssd-laptop
"Acer Extensa 15 EX215-52-58SQ Core i5 10th Gen 15.6"" FHD Laptop","54,500",https://www.startech.com.bd/acer-extensa-15-ex215-52-58sq-core-i5-laptop
"Acer Aspire 5 A514-54 Core i3 11th Gen 14"" FHD Laptop","55,000",https://www.startech.com.bd/acer-aspire-5-a514-54-core-i3-laptop
Acer Aspire 3 A315-56 Core i5 10th Gen 15.6''FHD Laptop with Windows 10,"55,200",https://www.startech.com.bd/acer-aspire-3-a315-56-core-i5-laptop
"HP 14s-dq2095TU Core i3 11th Gen 14"" FHD Laptop","55,500",https://www.startech.com.bd/hp-14s-dq2095tu-core-i3-11th-gen-laptop
"Lenovo Ideapad S145 Core i3 7th Gen 15.6"" FHD Laptop with Windows 10","41,500",https://www.startech.com.bd/lenovo-ideapad-s145-core-i3-7th-gen-laptop
Acer Aspire 3 A315-23 Ryzen 3 3250U 15.6''HD Laptop,"41,800",https://www.startech.com.bd/acer-aspire-3-a315-23-amd-ryzen-3-hd-laptop
"HP 15s-eq1012au Ryzen 3 3250U 15.6"" FHD Laptop","43,500",https://www.startech.com.bd/hp-15s-eq1012au-ryzen-3-laptop
"HP 15s-eq1169AU Ryzen 3 3250U 15.6"" FHD Laptop","45,000",https://www.startech.com.bd/hp-15s-eq1169au-ryzen-3-laptop
Dell Vostro 14-3401 10th Gen Core i3 14” HD Laptop With 3 Years Warranty,"45,000",https://www.startech.com.bd/dell-vostro-14-3401-i3-10th-gen-laptop
"HP 240 G8 Core i3 10th Gen 14"" HD Laptop","45,500",https://www.startech.com.bd/hp-240-g8-core-i3-10th-gen-laptop
"Dell Latitude 3400 Core i3 8th Gen 14.0"" HD Laptop with Finger Print Sensor","46,000",https://www.startech.com.bd/dell-latitude-3400-core-i3-laptop
"Dell Inspiron 15 3501 Core i3 11th Gen 15.6"" FHD Laptop with Windows 10","48,000",https://www.startech.com.bd/dell-inspiron-15-3501-i3-11th-gen-laptop
"Dell Latitude 3410 Core i3 10th Gen 14"" FHD Laptop","49,000",https://www.startech.com.bd/dell-latitude-3410-laptop
Acer Aspire 5 A515-55 Core i3 10th Gen 15.6''FHD Laptop with Windows 10,"49,500",https://www.startech.com.bd/acer-aspire-5-a515-55-core-i3-laptop
"Lenovo IdeaPad S145AMD Ryzen 5 3500U 15.6"" FHD Laptop with Windows 10","49,500",https://www.startech.com.bd/lenovo-ideapad-s145-amd-ryzen-5-3500u-laptop
"Dell Inspiron 15 3501 Core i3 11th Gen 256GB SSD 15.6"" FHD Laptop","50,000",https://www.startech.com.bd/dell-inspiron-15-3501-11th-gen-256gb-ssd-laptop
"Dell Latitude 3510 Core i3 10th Gen 256GB SSD 15.6"" HD Laptop","50,500",https://www.startech.com.bd/dell-latitude-3510-i3-laptop
"Avita Liber V14 Ryzen 5 3500U 14"" FHD Laptop Star Silver","53,990",https://www.startech.com.bd/avita-liber-v14-ryzen-5-laptop
"Avita Liber V14 Ryzen 5 3500U 14"" FHD Laptop Anchor Grey","53,990",https://www.startech.com.bd/avita-liber-v14-ryzen-5-laptop-anchor-grey
"ASUS VivoBook 14 K413EA Core i3 11th Gen 14"" FHD Laptop","55,000",https://www.startech.com.bd/asus-vivobook-14-k413ea-core-i3-11th-gen-laptop
"HP Probook 450 G8 Core i3 11th Gen 15.6"" HD Laptop","57,500",https://www.startech.com.bd/hp-probook-450-g8-laptop
"Lenovo IdeaPad Slim 3 Ryzen 3 3250U 128GB SSD 15.6"" FHD Laptop","46,500",https://www.startech.com.bd/lenovo-ideapad-slim-3-ryzen-3-fhd-laptop
"Lenovo IdeaPad Slim 3 Ryzen 3 3250U 15.6"" FHD Laptop","43,000",https://www.startech.com.bd/lenovo-ideapad-slim-3-ryzen-3-laptop
"Lenovo IdeaPad Slim 3 Ryzen 5 3500U 15.6"" FHD Laptop","55,000",https://www.startech.com.bd/lenovo-ideapad-slim-3-ryzen-5-fhd-laptop
"Lenovo IdeaPad Slim 3 Ryzen 7 3700U 15.6"" FHD Laptop with Windows 10","64,500",https://www.startech.com.bd/lenovo-ideapad-slim-3-ryzen-7-fhd-laptop
"Lenovo IdeaPad Slim 3 Ryzen 7 4700U 15.6"" FHD Laptop",0,https://www.startech.com.bd/lenovo-ideapad-slim-3-ryzen-7-laptop
"HP ProBook 440 G8 Core i3 11th Gen 14"" HD Laptop","57,500",https://www.startech.com.bd/hp-probook-440-g8-core-i3-11th-gen-laptop
"HP Pavilion x360 14-cd0074TU Core i5 8th Gen 14"" HD Touch Laptop","58,000",https://www.startech.com.bd/hp-pavilion-x360-cd0074tu-i5-laptop
"HP Pavilion 15-cs3005TU Core i5 10th Gen 15.6"" Full HD Laptop with Windows 10","59,599",https://www.startech.com.bd/hp-pavilion-15-cs3005tu-core-i5-10-gen-laptop
"Dell Latitude 3410 Core i5 10th Gen 14"" FHD Laptop","60,000",https://www.startech.com.bd/dell-latitude-3410-core-i5-10th-gen-hd-laptop
"Dell Latitude 3510 Core i5 10th 8GB RAM Gen 15.6"" HD Laptop","61,000",https://www.startech.com.bd/dell-latitude-3510-core-i5-laptop
"Dell Latitude 15 3510 Core i5 10th Gen 15.6"" HD Laptop","61,500",https://www.startech.com.bd/dell-latitude-3510-core-i5-10th-gen-laptop
"Dell Vostro 14 3400 Core i5 11th Gen 14"" FHD Laptop","62,500",https://www.startech.com.bd/dell-vostro-14-3400-i5-laptop
Huawei MateBook D15 AMD Ryzen 5 3500U 256GB SSD 15.6-inch FHD Laptop,"63,999",https://www.startech.com.bd/huawei-matebook-d15-laptop
"NEXSTGO SU03 Core i5 8th Gen 14"" Full HD Laptop with Windows 10","59,000",https://www.startech.com.bd/nexstgo-su03-core-i5-laptop
"Dell Inspiron 15 3501 Core i5 11th Gen MX330 2GB Graphics 15.6"" FHD Laptop","63,000",https://www.startech.com.bd/dell-inspiron-15-3501-i5-11th-gen-laptop
"Dell Vostro 15 3500 Core i5 11th Gen 15.6"" FHD Laptop","65,000",https://www.startech.com.bd/dell-vostro-15-3500-i5-laptop
"Dell Latitude 3410 Core i5 10th Gen 14"" HD Laptop","65,000",https://www.startech.com.bd/dell-latitude-14-3410-core-i5-10th-gen-hd-laptop
"Acer Aspire 3 A315-57G Core i5 10th Gen 512GB SSD MX330 2GB Graphics 15.6"" FHD Laptop","63,500",https://www.startech.com.bd/acer-aspire-3-a315-57g-core-i5-10th-gen-512gb-ssd-laptop
"Acer Aspire A514-53 Core i5 10th Gen 14"" Full HD Laptop with Genuine Windows 10","67,000",https://www.startech.com.bd/acer-aspire-a514-53-laptop
"Lenovo ThinkPad E15 Core i5 10th Gen 15.6"" FHD Laptop ","68,000",https://www.startech.com.bd/lenovo-thinkpad-e15-core-i5-10th-gen-laptop
"Lenovo IdeaPad Slim 3i Core i5 10th Gen 256GB SSD MX330 2GB Graphics 15.6"" FHD Laptop","68,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i5-256gb-ssd-laptop
"Lenovo IdeaPad Slim 3i Core i5 10th Gen 15.6"" FHD Laptop with Windows 10","68,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i5-laptop
"NEXSTGO SU03 Core i5 8th Gen 256GB SSD 14"" Full HD Laptop with Windows 10","70,000",https://www.startech.com.bd/nexstgo-su03-core-i5-256gb-ssd-laptop
HP Probook 440 G7 Core i5 10th Gen MX130 2GB Graphics 14 Inch FHD Laptop With Windows 10,"70,000",https://www.startech.com.bd/hp-probook-440-g7-i5-mx130-fhd-laptop
"Lenovo ThinkPad E14 Core i5 10th Gen 8GB RAM 14"" FHD Laptop ","70,000",https://www.startech.com.bd/lenovo-thinkpad-e14-core-i5-10th-gen-laptop
"Lenovo ThinkPad E15 Core i5 10th Gen 8GB RAM 15.6"" FHD Laptop ","70,000",https://www.startech.com.bd/lenovo-thinkpad-e15-i5-10th-gen-laptop
